title,description
"손흥민, 패션매거진 표지모델 깜짝 등장",잉글랜드 프로축구 토트넘 간판 공격수 손흥민(29)이 패션잡지 표지모델로 등장했다. 영국 데일리메일은 12일 “토트넘 스타 손흥민이 패션 매거진 아레나 옴므 최신판 커버를 장식했다. 데이빗 베컴의 길을 따라간다”... 
"토트넘, 한 시즌 최다골 손흥민 조명 최고 기록 썼다",잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼가 개인 한 시즌 최다골 신기록을 세운 손흥민(29)을 조명했다. 토트넘은 12일(한국시간) 홈페이지에 아직 최고가 아닌 손흥민이라는 제목의 기사를 통해 손흥민이... 
"손흥민, 남은 EPL 3경기서 ‘20골 고지’ 밟을까",완성한 손흥민(왼쪽)이 남은 리그 3경기 동안 한국인 한 시즌 최다골 신기록과 생애 첫 20골 고지 등정에 도전한다. 사진은 지난 8일 리즈와의 경기에서 손흥민이 개인 한 시즌 최다인 22호골을 터뜨리는 모습. 리즈... 
캐러거의 '손흥민 픽'이 불붙인 논쟁..골과 도움 중 뭐가 더 어렵냐,"대신 손흥민(토트넘)을 선정한 게 사건의 발단이다. 캐러거는 골도 골이지만 도움의 중요성을 강조하며 손흥민을 '픽'했다. 손흥민은 13일 현재 17골 10도움을 기록 중으로, 살라(20골 4도움)에 득점수에서 뒤처지지만... "
"손흥민, 영국잡지 표지모델..베컴 이후 21년만에 축구선수 발탁","축구선수 손흥민(29·토트넘)이 영국 패션잡지 표지 모델로 깜짝 등장했다. 13일 영국 현지 언론 등에 따르면 손흥민은 영국 패션 잡지 ‘아레나 옴므+’ 커버를 장식했다. 이 잡지는 남성 패션 전문 매거진으로, 스포츠... "
"토트넘, “손흥민, 개인 최고 기록 썼다”",잉글랜드 프로축구 토트넘 홋스퍼가 손흥민(29)의 개인 한 시즌 최다 득점 기록을 조명했다. 토트넘은 11일(한국시간) 홈페이지에 ‘손흥민이 지금까지 경력에서 최고 기록을 썼다’는 제목의 기사를 실었다.... 
"찰칵!21년전 베컴처럼 손흥민,글로벌 패션매거진 커버모델 등극",'토트넘 스타 손흥민이 데이비드 베컴의 발자취를 따랐다.' 12일(한국시각) 영국 일간 데일리메일이 손흥민의 패션 매거진 커버 모델 사진을 공개하며 붙인 제목이다. 손흥민이 아레나 옴므+가장 최근호 커버 모델로 깜짝... 
"NFL 스타 구영회, 손흥민 만난다…10월 토트넘 홈 구장 찾아",한국인 미국프로풋볼(NFL) 스타 구영회(27·애틀랜타 팰컨스)가 손흥민(29·토트넘 홋스퍼)을 만난다.... 무엇보다 한국인 출신 구영회와 손흥민의 만남이 기대되는 일정이다. 애틀랜타 구단은 손흥민과 구영회가 나란히... 
빅클럽들 손흥민 왜 안찾지? 놀라운 일 英매체도 의아,"손흥민(29, 토트넘)은 왜 빅 클럽들과 연결된 루머가 나오지 않는 것일까. 11일(한국시간) 영국... 있는 손흥민을 영입하라고 조언했다. 손흥민은 이번 시즌 자신의 최고 시즌을 보내고 있다. 리그에서 17골 10도움을 올리는... "
베컴처럼… 손흥민 패션잡지 표지 모델로,손흥민(29·토트넘)이 영국 유명 잡지의 표지를 장식했다. 영국 매체 데일리메일은 12일 잉글랜드 프리미어리그(EPL) 토트넘의 스타 손흥민이 패션 잡지 ‘아레나 옴므 플러스’ 최신호 커버 모델로 등장했다고 보도했다.... 
"英기자 8명, EPL 베스트11에 손흥민 '0표'...대신 '포든-마운트'","영국 '데일리 메일'의 기자 8명이 EPL 베스트11을 선정했는데 손흥민은 단 1표도 받지 못했다. 대신 필 포든... 특히 네빌은 손흥민, 모하메드 살라가 아닌 마커스 래쉬포드를 선택하면서 논란이 됐다. 이유는 분명하다.... "
"손흥민, 글로벌 패션 잡지 표지 장식… 베컴의 발자취 따라가다",축구선수 손흥민(토트넘 홋스퍼)이 글로벌 패션 잡지 표지을 장식했다. 손흥민이 매거진 '아레나 옴므+' 최근호 커버 모델로 깜짝 등장해 시선을 사로잡았다. 아레나 옴므+ 표지에는 오버 사이즈핏 녹색 점퍼를 입고... 
손흥민&gt;살라 후폭풍…오언 이해 안돼,"4-3-3 대형으로 라인업을 꾸렸는데 손흥민(28)을 왼쪽 윙어로 꼽았다. 해리 케인(27, 이상 토트넘 홋스퍼) 필... 프리미어리그 득점 2위이자 리버풀 후배이기도 한 모하메드 살라(28, 리버풀) 대신 손흥민을 택한 것에 레즈... "
반박 환영 손흥민 없고 더 브라위너도 없는 英매체 올해의 팀,"궁금해할 결론부터 말하면, 올시즌 17골 10도움 기록 중인 손흥민(토트넘)의 이름은 쏙 빠졌다. 맨시티의 리그 우승을 이끈 케빈 더 브라위너와 필 포든도 없다. '기브미스포츠'는 논란을 의식한 듯 세 선수의 이름을... "
"손흥민, 한국인 빅리그 시즌 최다골 도전",매경닷컴 MK스포츠 뉴스팀 손흥민(29·토트넘 홋스퍼)이 유럽프로축구 4대 리그 단일시즌 한국인 최다... 손흥민은 2020-21 잉글랜드 프리미어리그(EPL) 34경기 17골을 기록 중이다. 최근 손흥민은 EPL 5경기 4득점... 
"토트넘 “손흥민, 아직 최고 아니다” 개인 최고 활약 시즌 조명",“아직 최고가 아니다.” 토트넘이 개인 최고 활약을 펼치는 손흥민(29)을 집중 조명했다. 토트넘 구단은 12일 홈페이지에 2020~2021시즌 개인 최다 22골을 넣은 손흥민의 활약상과 함께 골 장면을 올렸다. “아직... 
"EPL 가장 저평가된 손흥민, 맨유에 어울려 英칼럼니스트 강추","영국의 한 칼럼니스트가 손흥민이 EPL에서 가장 저평가됐다면서 맨체스터 유나이티드에 어울린다는 평을... 특히 네빌은 손흥민, 모하메드 살라가 아닌 마커스 래쉬포드를 선택하면서 논란이 됐다. 이유는 분명하다.... "
"‘나이스 원’ 손흥민, 패션잡지 표지모델 등장",손흥민(29·토트넘)이 패션잡지의 표지모델로 등장했다. 영국 매체 데일리메일은 12일(한국시간) “토트넘 스타 손흥민이 패션 매거진 아레나 옴므 플러스(+)의 표지모델이 됐다”면서 “데이비드 베컴의 길을 따라가고... 
"'2577억원 가치' 음바페, 몸값 1위로 평가… 손흥민은 1075억으로 27위",손흥민(토트넘 홋스퍼)은 27위에 이름을 올렸다. 지난 12일(현지시각) 세계적 종합 회계·재무·자문... 손흥민은 7880만유로(약 1075억원)로 전체 27위. 잉글랜드 프리미어리그(EPL)만 따지면 13위다. 손흥민은... 
"토트넘, 손흥민 '커리어 하이' 조명...최고 기록은 아직 오지 않았다",손흥민이 4년 만에 자신의 커리어 하이 기록을 경신했다. 토트넘 홋스퍼는 12일(한국시각) 구단 홈페이지를 통해 손흥민에게 최고 기록은 아직이라는 제목으로 손흥민의 득점 기록을 조명했다. 이번 2020/21시즌... 
"토트넘, 손흥민 집중조명... 손흥민의 최고기록은?",손흥민의 최고기록은?. 토트넘은 12일(이하 한국시간) 구단 홈페이지 통해 손흥민에게 최고 기록은 아직이라는 제목으로 손흥민의 득점 기록을 조명했다. 올 시즌 손흥민은 공식전 22골을 넣으며 자신의... 
"살라 대신 손흥민 선택한 캐러거, 오언-파브레가스도 논쟁 참전",리버풀의 레전드 캐러거가 공격포인트 숫자를 고려해 손흥민은 살라보다 높게 평가한 것에 대한 논쟁이... 캐러거는 왼쪽 측면 공격수에 살라가 아닌 손흥민을 포함시켰다. 손흥민은 올 시즌 프리미어리그에서 17골... 
"손흥민, 패션잡지모델 깜짝 등장",잉글랜드 프리미어리그(EPL) 토트넘의 축구 스타 손흥민(29·사진)이 세계적 남성 패션잡지의 표지모델이 됐다. 영국의 데일리메일은 12일 “손흥민이 패션 매거진 아레나 옴므 최신판 커버를 장식했다”고 보도했다.... 
"손흥민, 패션잡지 표지 모델로 등장… 英 매체 베컴의 길 따라 간다",잉글랜드 프리미어리그 토트넘 홋스퍼의 공격수 손흥민(29)이 패션잡지 표지모델로 등장했다. 영국 데일리메일은 12일(한국시간) 토트넘 스타 손흥민이 패션 매거진 아레나 옴므의 표지모델이 됐다. 데이비드 베컴의... 
“배컴 잇는 세계적 스타” 아레나 옴므 플러스 표지 모델 된 손흥민,손흥민(토트넘 홋스퍼)이 데이비드 베컴을 잇는 ‘세계적 선수’로 자리매김했다. 영국 ‘데일리 메일’은 12일(이하 한국시간) 손흥민이 아레나 옴므 플러스의 표지모델로 섰다고 보도했다. 매체는 표지 모델로 선... 
"토트넘 시즌 공식전 22골, 손흥민 경력 최고의 해",잉글랜드 프로축구 토트넘 구단이 손흥민의 개인 한 시즌 공식전 최다 득점 기록을 조명했다. 토트넘은 12일 홈페이지에 첫 화면에 '손흥민이 지금까지 경력에서 최고 기록을 썼다'는 제목의 기사를 띄우고... 
살라 대신 손흥민 뽑아 비판 받자…페널티킥이 더 많잖아,"손흥민(토트넘)의 올 시즌 영향력이 상당했다. 맨체스터 유나이티드 출신 게리 네빌과 리버풀 출신 제이미... 캐러거는 최전방 스리톱에 필 포든, 해리 케인, 손흥민을 뽑은 반면, 네빌은 손흥민을 빼고 마커스 래시포드를... "
"손흥민, 스카이스포츠 캐러거 선정 '올해의 EPL 베스트 11'",손흥민(토트넘)이 스카이스포츠 해설위원이자 '리버풀 레전드' 제이미 캐러거가 뽑은 2020-2021시즌... 손흥민은 캐러거가 4-3-3 전술을 바탕으로 뽑은 '올해의 EPL 베스트 11'에 왼쪽 날개 공격수로 지목을 받았습니다.... 
"또 아그본라허?… 손흥민·케인·베일, 팀 아닌 본인 득점만 생각해”","“손흥민, 팀 아닌 본인 득점만 생각해” 아스턴 빌라에서 활약했던 가브리엘 아그본라허가 손흥민(토트넘 홋스퍼)을 이기주의자로 표현하며 강도높게 비판했다. 영국 매체 풋볼 인사이더는 지난 11일(이하 현지시각)... "
"토트넘, 손흥민 한 시즌 최다 골 조명",토트넘이 12일 홈페이지 첫 화면에 '손흥민이 지금까지 경력에서 최고 기록을 썼다'는 제목의 기사를 띄우며 손흥민의 한 시즌 공식전 최다 득점 기록을 조명했다. 2021.5.12 [토트넘 홈페이지 캡처. 재판매 및 DB 금지]
"토트넘, 손흥민 득점 기록 조명… “쏘니 22골 넣었다!”","김희웅 인턴기자= 토트넘 홋스퍼가 손흥민의 커리어 하이를 조명했다. 토트넘은 11일 구단 공식 홈페이지에 “쏘니에게 최고의 순간은 아직”이라는 제목을 달았고, 손흥민이 최다골 기록을 세운 것을 축하했다.... "
"'베스트 일레븐에 손흥민 제외'...英언론, 네빌 의견에 동조"," 신동훈 기자= 현지 언론이 뽑은 잉글리시 프리미어리그(EPL) 시즌 베스트 일레븐에 손흥민(28, 토트넘... 캐러거는 네빌과 케인, 포든, 더 브라위너, 브루노, 쇼, 디아스는 같았지만 손흥민, 은골로 캉테, 존 스톤스... "
"“골이 도움보다 가치있어” 오웬, 손흥민 도움기록 폄하했나 ","‘원더보이’ 마이클 오웬(42)이 손흥민(29, 토트넘)의 기록을 제대로 인정하지 않아 논란이다. 제이미 캐러거 스카이스포츠 해설위원은 금주의 베스트11을 짜면서 모하메드 살라를 빼고 손흥민을 넣었다. 20골, 4도움의... "
"NFL 구영회와 손흥민, 런던에서 만난다… 10월 토트넘 홈 방문 경기",한국인 미국프로풋볼(NFL) 올스타 구영회가 오는 10월 손흥민의 홈 구장인 토트넘홋스퍼 스타디움을 찾을 전망이다. 구영회 소속팀 애틀랜타팰컨스는 런던 방문을 예고하면서 손흥민 사진을 내걸었다. 팰컨스는 12일... 
베스트XI 기준을 모르겠네…손흥민 대신 그릴리시 (英 매체),"영국 축구 전문가가 총출동해 프리미어리그 베스트XI을 꼽는 흐름에서 손흥민(28, 토트넘 홋스퍼)은 철저히... 끝으로 기브미 스포츠는 이번 명단에 케빈 데 브라위너(29)와 필 포든(20, 이상 맨체스터 시티) 손흥민(27... "
"英 현지 전문가 손흥민, 맨유 이적 추천","손흥민(29)은 토트넘 홋스퍼 핵심이다. 박스 안팎에서 날카로운 결정력으로 한 번의 기회를 놓치지 않는다. 현지에서는 맨체스터 유나이티드 이적을 추천했다. 손흥민은 2015년 토트넘 유니폼을 입은 뒤에, 해리 케인과... "
"개인 역대 최고 기록… 토트넘, 손흥민 활약상 집중 조명",잉글랜드 프로축구 토트넘이 이번 시즌 최고의 활약상을 보인 손흥민(29)을 집중 조명했다. 토트넘은 12일(한국시간) 홈페이지에 첫 화면에 '손흥민이 지금까지 경력에서 최고 기록을 썼다'는 제목의 기사를 올려... 
"토트넘 구단의 극찬, 22골 손흥민, 개인 역대 최고의 활약",손흥민(토트넘)의 이번 시즌 활약에 대해 토트넘 구단이 직접 최고의 찬사를 남겼다. 토트넘은 지난 11일(한국시간) 구단 공식 홈페이지를 통해 이번 시즌은 역대 최고의 손흥민이라고 그의 이번 시즌 활약에... 
"'프라다에 수탉'...손흥민, 베컴 이어 현지 잡지 표지 모델로 등장","손흥민이 영국 잡지 표지 모델로 등장했다. 영국 언론 데일리 메일은 11일(한국시각) 토트넘 홋스퍼의 손흥민이 데이비드 베컴, 영국의 복싱 스타 안토니 조슈아의 뒤를 이은 영국 패션 잡지 '아레나 옴므+' 표지 모델로... "
"손흥민, 英 스카이스포츠 캐러거 선정 시즌 베스트11",손흥민이 올 시즌 프리미어리그에서 최고의 활약을 펼친 선수 중 한명으로 선정됐다. 영국 스카이스포츠의... 캐러거는 왼쪽 측면 공격수로 손흥민을 선정했다. 캐러거는 살라가 더 많은 골을 넣었지만 골과... 
"'손흥민 동료' 라멜라, 한국인이 보낸 욕설 메시지 '박제'",손흥민의 동료 잉글랜드 프로축구 토트넘 홋스퍼 FC 소속 에릭 라멜라(29)가 자신의 가족을 욕한 한국인의... 라멜라는 최근 국내 팬들로부터 손흥민을 비롯한 케인 등 동료 선수들에게 공을 패스하지 않아 비난을 받는... 
아직 최고가 아닌 손흥민…구단도 주목한 커리어 하이 시즌,손흥민(토트넘)이 역대급 시즌을 보내고 있다. 토트넘 구단은 11일(한국 시간) 공식 홈페이지에 아직 최고가 아닌 손흥민이라는 기사를 올렸다. 구단은 손흥민이 지난 리즈 유나이티드전에서 골을 넣으면서 공식전... 
"손흥민, 스카이스포츠 캐러거 선정 '올해의 EPL 베스트 11'",손흥민(토트넘)이 스카이스포츠 해설위원이자 '리버풀 레전드' 제이미 캐러거(43)가 뽑은 2020-2021시즌... 손흥민은 캐러거가 4-3-3 전술을 바탕으로 뽑은 '올해의 EPL 베스트 11'에 왼쪽 날개 공격수로 지목을 받았다.... 
"'팔이 바깥으로 굽었다' 리버풀 레전트 캐러거, 살라 아닌 손흥민을 베스트11...",'손흥민이 살라보다 더 낫다' 잉글랜드 프리미어리그 리버풀의 대표적인 레전드인 제이미 캐러거가 손흥민(토트넘)의 진짜 가치를 인정했다. 공격과 수비를 모두 합친 팀 기여도 측면에서 리버풀의 간판스타 모헤마드... 
"베컴 발자취 따라 진정한 아이콘 손흥민, 패션 매거진 커버 모델 발탁","“손흥민(29, 토트넘)이 데이비드 베컴의 발자취를 따르게 됐다. 이제 진정한 아이콘으로 부상했다.” 영국 매체 ‘데일리 메일’은 “손흥민이 패션 매거진 ‘아레나 옴므+’의 커버 모델로 나서면서 베컴의 발자취를... "
손흥민 커리어 절정인데…토트넘은 챔스 탈락 위기,'손세이셔널' 손흥민(29)은 이번 시즌 연일 새 역사를 쓰며 커리어 하이를 찍고 있다. 하지만 정작 소속팀 잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼는 7위 자리도 위태롭다. 손흥민은 지난 8일(한국시간) 영국... 
"손흥민, 캐러거 선정 올 시즌 베스트11에 선정","손흥민(29·토트넘)이 리버풀의 레전드 수비수 제이미 캐러거가 선정한 ‘올해의 팀’ 공격수에 선정됐다.... 캐러거는 4-3-3 포메이션의 왼쪽 날개에 손흥민의 이름을 넣었다. 다른 두 자리에는 해리 케인(토트넘), 필... "
"'레전드' 캐러거, 리버풀팬 비난에도 손흥민이 살라에 앞선다",리버풀의 레전드 캐러거가 리버풀 팬들의 비난에도 손흥민이 올 시즌 살라보다 뛰어난 활약을 펼쳤다는... 아닌 손흥민을 선정했다. 현역시절 1996년부터 2013년까지 리버풀 원클럽맨으로 활약한 캐러거는 리버풀... 
"토트넘 공식 홈페이지 22골 손흥민, 최고 기록 썼다",잉글랜드 프리미어리그 토트넘 핫스퍼 구단이 팀의 공격수 손흥민(29)의 이번 시즌 개인 통산 최다 득점 기록을 조명했다. 토트넘은 12일(한국 시간) 홈페이지 메인 화면에 손흥민 관련 소식을 전했다. 토트넘은... 
손흥민 커리어하이 시즌 조명하는 토트넘,출신 손흥민(29)의 개인 한 시즌 공식전 최다 득점 기록을 조명했다. 토트넘은 12일 홈페이지 첫 화면에 '손흥민이 지금까지 경력에서 최고 기록을 썼다'는 제목의 기사를 띄웠다. 구단은 손흥민이 올 시즌 세운... 
"‘베컴처럼’ 손흥민, 패션잡지 표지모델로 등장",토트넘 홋스퍼의 손흥민이 패션잡지 표지 모델이 되었다. 12일(한국시간) 영국 데일리메일은 “토트넘 스타 손흥민이 패션 매거진 아레나 옴므의 표지모델이 됐다. 데이비드 베컴의 길을 따라가고 있다”고 전했다.... 
"손흥민·케인·베일, 자신만을 위해 뛰었어","아스톤 빌라 출신 가브리엘 아그본라허가 손케베 라인(손흥민·해리 케인·가레스 베일)에 대한 실망감을... 손흥민, 케인, 베일은 자신만을 위해 뛰었다라고 지적했다. 수비에 대해서도 수비수들은 수비를 하고 싶지 않은... "
"손흥민, 한시즌 최다 22골",토트넘(잉글랜드)의 손흥민(29)이 8일 리즈 유나이티드와 벌인 프리미어리그 원정 경기에서 0-1로 뒤지던... 손흥민은 최근 정규리그 3경기 연속골을 터뜨렸다. 모든 공식전을 통틀어선 22번째 득점. 토트넘에서 맞은... 
"손흥민, 英 ‘아레나옴므+’ 표지 장식...베컴 이후 21년 만 축구스타","손흥민(29·토트넘)이 영국 패션잡지 표지 모델로 깜짝 등장했다. 13일(한국시간) 영국 데일리메일에 따르면 손흥민은 영국 패션 잡지 ‘아레나 옴므+’커버를 장식했다. 이 잡지는 남성 패션 전문 매거진으로, 스포츠... "
"前 토트넘맨, 프로젝트가 있는 감독 필요...그렇지 않다면 케인-손흥민은 이...","토트넘 홋스퍼 출신 앨런 허튼이 해리 케인과 손흥민을 놓치기 싫다면 하루빨리 감독 선임이 필요하다고... 그렇지 않다면 케인은 이적을 할 것이고, 손흥민 역시 팀을 떠날 것이라는 생각을 가질 것이다고 말했다. 이어... "
"“손흥민, 케인 이적하면 토트넘 새로운 에이스” 홀로서기 전망",손흥민(28)이 향후 토트넘 홋스퍼를 이끌 거라는 흥미로운 전망이 나왔다. 더 월드 매거진은 12일 “17골 10도움을 올린 아시아 최고 공격수 손흥민이 토트넘 새 에이스가 될까”라며 기대감을 드러냈다. 매체에 따르면... 
"손흥민 동료 라멜라, 한국인이 보낸 욕설 메시지 ‘공개 저격’","“야, 라멜라, X먹어라” “야, 라멜라, 네 가족 X먹어라” 잉글랜드 프로축구 토트넘에서 손흥민과 함께... 라멜라는 최근 손흥민에게만 고의적으로 패스를 하지 않는다는 지적을 축구 팬들에게 받아왔다. 경기가 끝나면... "
"손흥민, '레전드' 수비수 캐러거가 뽑은 '올해의 팀' 공격수에 선정",손흥민(29·토트넘)이 잉글랜드 프리미어리그(EPL) 리버풀의 레전드이자 영국 스카이스포츠 해설위원인... 캐러거는 '4-3-3' 포메이션을 기본 삼아 선수들을 뽑았고 손흥민을 왼쪽 날개 공격수로 선택했다. 최전방은... 
“손흥민은 베컴 이은 진짜 아이콘”… 글로벌 패션지 표지 장식,손흥민(토트넘 홋스퍼)이 글로벌 남성 패션지 표지 모델이 됐다. 손흥민은 ‘아레나 옴므+’의 최신 호 표지 모델로 나섰다. 그는 프라다의 카키색 재킷을 입고 수탉을 안은 채 무덤덤한 표정을 지었다. 수탉은 토트넘의... 
"손흥민, 패션 매거진 표지 모델 장식...베컴 잇는 진정한 아이콘", 윤효용 기자 =손흥민이 잡지 커버 모델로 출연해 화제다. 영국 '데일리 메일'은 12일(한국시간) 토트넘 스타 손흥민이 데이비드 베컴의 길을 따라가고 있다. 패션 매거진 아레나 옴므 최신판의 커버 모델로 등장했다고... 
"손흥민, 캐러거 선정 시즌 베스트11 “수비적 팀에서 굉장한 활약” [종합]",리버풀 출신의 제이미 캐러거가 손흥민(토트넘)을 이번 시즌 잉글랜드 프리미어리그(EPL) 베스트11으로... 손흥민은 캐러거가 선정한 베스트11의 왼쪽 윙포워드 자리에 선정됐다. 캐러거는 “최전방 포지션에서 나의 선택... 
"[프리미어리그] '토트넘vs울버햄튼' 손흥민, 4경기 연속 골 도전",기록한 손흥민이 또 한 번 득점포에 도전한다. 상대는 최근 아다마 트라오레의 활약에 힘입어 좋은 흐름을 보이는 '늑대 군단' 울버햄튼이다. 지난 경기에서 이미 차붐과 어깨를 나란히 한 손흥민이 또 다른 전설이 될지... 
수탉 안은 손흥민…베컴 이후 21년만에 ‘英 패션잡지 커버 장식’,"손흥민(29·토트넘)이 영국 패션잡지 표지 모델로 깜짝 등장했다. 13일(한국시간) 영국 데일리메일에 따르면 손흥민은 영국 패션 잡지 ‘아레나 옴므+’ 커버를 장식했다. 이 잡지는 남성 패션 전문 매거진으로, 스포츠... "
[그래픽] 손흥민 한 시즌 최다골 경신,손흥민은 8일 영국 리즈의 엘런드 로드에서 열린 리즈 유나이티드와의 2020-2021 잉글랜드 프리미어리그(EPL) 35라운드 원정 경기에서 전반 25분 1-1 동점을 만드는 골을 터뜨렸다. 손흥민의 이번 시즌... 
"토트넘, 한 시즌 최다골 손흥민 조명 ˝최고 기록 썼다˝",잉글랜드 프리미어리그(EPL) 토트넘 홋스퍼가 개인 한 시즌 최다골 신기록을 세운 손흥민(29)을 조명했다.토트넘은 12일(한국시간) 홈페이지에 아직 최고가 아닌 손흥민이라는 제목의 기사를 통해 손흥민이... 
"디 애슬레틱, 퍼포먼스상 후보 공개...손흥민 포함 4인 경쟁","손흥민이 디 애슬레틱이 선정하는 프리미어리그 퍼포먼스상 후보 4인에 포함됐다. 손흥민과 함께 해리 케인, 잭 그릴리쉬, 필 포든이 경쟁한다. ‘디 애슬레틱’은 12일(한국시간) 선수 개인이 특정 경기에서 엄청난... "
손흥민 시즌 22호… ‘차붐’과 나란히,‘슈퍼 소니’ 손흥민(29·토트넘·사진)이 골망을 흔들 때마다 한국 축구의 역사가 바뀌고 있다. 손흥민은 8일 영국 리즈의 엘런드 로드에서 열린 리즈 유나이티드와의 2020∼2021시즌 잉글랜드 프리미어리그(EPL)... 
"EPL 득점왕 후보 리뷰, '손흥민이 부상당하지 않았다면?'",공동 3위는 손흥민(토트넘)과 브루노 페르난데스(맨체스터 유나이티드)의 17골이다. 도미닉 칼버트 르윈... 이 매체는 손흥민을 향한 큰 아쉬움을 표현했다. 손흥민이 부상만 당하지 않았다면 더욱 많은 골을 넣을 수... 
"리그 17골…손흥민, 차붐과 어깨 나란히","“골키퍼와 1대1 상황, 그다음은 안 봐도 아시죠.” 잉글랜드 토트넘 구단은 인스타그램을 통해 공격수 손흥민(29)이 축구 인생 정점에 서던 순간을 이렇게 전했다. 손흥민은 8일(한국시각) 영국 리즈 엘런드 로드에서... "
손흥민은 또 한 번 차범근의 이름을 알렸다,손흥민(29·토트넘)이 또 한 번 차범근(68)의 이름을 알렸다. 토트넘은 8일(한국시간) 영국 리즈의 엘런드... 아쉬운 패배 속에서 얻은 수확은 손흥민의 골이었다. 0-1로 뒤지던 전반 25분 문전으로 매서운 스피드로... 
"손흥민, 리그 17호골 ‘전설과 나란히’",손흥민(29·토트넘)이 한국 축구 레전드 차범근 전 국가대표 감독(사진)과 어깨를 나란히 했다. 손흥민은 8일 영국 리즈의 엘런드 로드에서 열린 리즈 유나이티드와의 2020~2021 잉글랜드 프리미어리그(EPL) 35라운드... 
"손흥민이 살라보다 낫다 캐러거, 리버풀 팬들 비판 반박...근거는?","아닌 손흥민(28, 토트넘)을 넣었다. 캐러거는 10일(한국시간) 영국 '스카이스포츠'의 '먼데이 나잇 풋볼'에 출연해 EPL 올 시즌의 팀을 선정했다. 4-3-3 포메이션이었고 공격진은 해리 케인, 필 포든, 손흥민이 뽑혔다.... "
손흥민 리그 17호골…EPL득점 3위로,완패 손흥민(29·토트넘 홋스퍼)이 시즌 막판 득점 페이스를 끌어올리고 있다. 최근 5경기에서 네 골을 터뜨리며 잉글랜드 프리미어리그(EPL) 득점 3위까지 올라섰다. 손흥민은 8일(한국시간) 영국 리즈의 엘랜드... 
